Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie
,COMPILADORES,HERNANDEZ OLVERA LUIS ENRIQUE,3,108,16:30-18:00,,16:30-18:00,16:30-18:00,
5CV1,PROCESAMIENTO DIGITAL DE SEÑALES,ARZATE GORDILLO JACQUELINE,3,108,20:00-21:30,,20:00-21:30,20:00-21:30,
5CV1,ARQUITECTURA DE COMPUTADORAS,LERMA MAGAÑA CARLOS,3,108,,15:00-16:30,15:00-16:30,,15:00-16:30
5CV1,INSTRUMENTACION Y CONTROL,HERNANDEZ AGUILAR JOSE LUIS,3,108,,18:30-20:00,18:30-20:00,,18:30-20:00
,ANALISIS Y DISEÑO DE SISTEMAS,BLANCO ALMAZAN IVAN EDUARDO,3,108,15:00-16:30,,,15:00-16:30,16:30-18:00
5CV1,FORMULACION Y EVALUACION DE PROYECTOS INFORMATICOS,SILVA SANCHEZ CARLOS,3,108,18:30-20:00,16:30-18:00,,18:30-20:00,
5CV1,REDES DE COMPUTADORAS,ALCARAZ TORRES JUAN JESUS,3,108,13:30-15:00,13:30-15:00,,13:30-15:00,
5CV2,PROCESAMIENTO DIGITAL DE SEÑALES,PUEBLA LOMAS JAIME HUGO,3,109,13:30-15:00,13:30-15:00,,13:30-15:00,
5CV2,ARQUITECTURA DE COMPUTADORAS,BARRALES LOPEZ ANA LUZ,3,109,16:30-18:00,,16:30-18:00,16:30-18:00,
5CV2,INSTRUMENTACION Y CONTROL,CERVANTES DE ANDA ISMAEL,3,109,20:00-21:30,,20:00-21:30,20:00-21:30,
5CV2,ANALISIS Y DISEÑO DE SISTEMAS,BLANCO ALMAZAN IVAN EDUARDO,3,109,,15:00-16:30,15:00-16:30,,15:00-16:30
5CV2,FORMULACION Y EVALUACION DE PROYECTOS INFORMATICOS,SILVA SANCHEZ CARLOS,3,109,,18:30-20:00,18:30-20:00,,18:30-20:00
5CV2,REDES DE COMPUTADORAS,HENESTROSA CARRASCO LETICIA,3,109,15:00-16:30,,,15:00-16:30,16:30-18:00
5CV3,COMPILADORES,RODRIGUEZ JORDAN GABRIEL DE JESUS,3,110,,18:30-20:00,18:30-20:00,,18:30-20:00
5CV3,PROCESAMIENTO DIGITAL DE SEÑALES,ARZATE GORDILLO JACQUELINE,3,110,18:30-20:00,16:30-18:00,,18:30-20:00,
5CV3,ARQUITECTURA DE COMPUTADORAS,CASTILLO MARTÍNEZ MIGUEL ÁNGEL,3,110,15:00-16:30,,,15:00-16:30,16:30-18:00
5CV3,INSTRUMENTACION Y CONTROL,TELLEZ BARRERA JUAN CARLOS,3,110,13:30-15:00,13:30-15:00,,13:30-15:00,
5CV3,ANALISIS Y DISEÑO DE SISTEMAS,SALINAS CALLEJAS MARÍA DE LOURDES,3,110,16:30-18:00,,16:30-18:00,16:30-18:00,
5CV3,FORMULACION Y EVALUACION DE PROYECTOS INFORMATICOS,CALDERON SAMBARINO MARIA JULIA,3,110,20:00-21:30,,20:00-21:30,20:00-21:30,
5CV3,REDES DE COMPUTADORAS,HENESTROSA CARRASCO LETICIA,3,110,,15:00-16:30,15:00-16:30,,15:00-16:30
5CV4,COMPILADORES,RODRIGUEZ JORDAN GABRIEL DE JESUS,3,111,20:00-21:30,,20:00-21:30,20:00-21:30,
5CV4,PROCESAMIENTO DIGITAL DE SEÑALES,DIAZ TOALA IVAN,3,,,15:00-16:30,15:00-16:30,,15:00-16:30
5CV4,ARQUITECTURA DE COMPUTADORAS,LINARES VALLEJO ERICK EUGENIO,3,111,,18:30-20:00,18:30-20:00,,18:30-20:00
5CV4,INSTRUMENTACION Y CONTROL,CERVANTES DE ANDA ISMAEL,3,111,15:00-16:30,,,15:00-16:30,16:30-18:00
5CV4,ANALISIS Y DISEÑO DE SISTEMAS,BLANCO ALMAZAN IVAN EDUARDO,3,111,18:30-20:00,16:30-18:00,,18:30-20:00,
5CV4,FORMULACION Y EVALUACION DE PROYECTOS INFORMATICOS,RODRIGUEZ ORDAZ MARISOL,3,,13:30-15:00,13:30-15:00,,13:30-15:00,
5CV4,REDES DE COMPUTADORAS,PUEBLA LOMAS JAIME HUGO,3,111,16:30-18:00,,16:30-18:00,16:30-18:00,
